scenario,method,rmse,mae,max_err,local_peaks,smoothness,coverage,edge_decay,runtime_ms
uniform_gaussian,Wendland,7.5444,5.8822,32.9755,1,1.0543,1.0000,0.3976,6971.8
uniform_gaussian,MLS,4.7050,3.5579,17.5412,1,1.3903,0.9989,0.5288,2264.0
uniform_gaussian,Laplacian,7.9489,5.8452,30.5957,1,1.0098,1.0000,0.3727,300.5
clustered_gaussian,Wendland,44.4053,31.1254,138.1253,2,1.6945,0.8246,0.4584,6064.6
clustered_gaussian,MLS,19.3187,12.4971,82.3646,2,2.3995,0.9683,0.4129,1225.0
clustered_gaussian,Laplacian,24.2861,19.0635,63.2143,1,0.4243,1.0000,0.1173,151.9
uniform_saddle,Wendland,4.2610,3.1708,22.5870,1,0.4535,1.0000,-0.0206,4153.7
uniform_saddle,MLS,5.6645,4.0562,33.7022,1,0.5687,1.0000,-0.0690,1269.0
uniform_saddle,Laplacian,4.8240,3.4287,21.8293,1,0.3861,1.0000,-0.0268,164.1
edge_sparse_multi,Wendland,16.4059,11.8261,64.3327,1,2.0945,0.9342,0.9014,4015.1
edge_sparse_multi,MLS,35.3771,22.5747,198.5754,7,3.3997,0.7985,0.7937,1537.2
edge_sparse_multi,Laplacian,32.2400,24.9719,79.9427,1,1.4424,1.1204,0.4315,203.6
sparse_15,Wendland,56.3339,42.3597,138.2331,2,1.6518,0.7738,0.3912,932.4
sparse_15,MLS,30.3651,22.3585,106.9863,1,0.5186,1.0000,0.0797,1632.9
sparse_15,Laplacian,26.9676,21.2989,66.6613,1,0.2444,1.0000,0.0670,171.7
